cruise	date	Depth	Oxygen 	Phosphate	Silicate	Nitrate	Ammonium	Nitrite 	Hydrogen Sulfide 	Methane 	Nitrous Oxide
SI035	09-07-01	200	0	5.5451	61.954	0	8.458177222	0	10.30466593	NAN	NAN
SI024	08-08-11	97	39.69820034	3.265	67.038	29.748	0.43977	0.1563	0	11.74842077	16.59685911
SI027	08-11-12	90	NAN	NAN	NAN	NAN	3.443717956	0	0	8.784033026	17.73478508
SI028	08-12-10	100	13.75809873	NAN	NAN	NAN	NAN	0.089825119	0	0	22.44343223
SI032	09-04-08	85	139.6842883	2.6136	20.45	28.627	0	0.013333333	0	0	16.1600129
SI033	09-05-01	100	NAN	2.7874	24.301	25.413	0	0.341304348	0	0	14.914391
SI023	08-07-15	20	293.0508759	0.499	21.765	19.979	3.09346841	NAN	0	30.08634933	9.745528762
SI022	08-06-11	85	92.62159966	2.124	29.07	20.833	0.82674	NAN	0	14.94039404	12.74842667
SI034	09-06-01	120	17.70792258	3.5508	26.624	20.003	0	0.026295437	0	4.622657131	15.64769138
SI034	09-06-01	97	59.699577	3.3341	60.198	29.798	0	0.041763341	0	7.398973595	20.96875687
SI028	08-12-10	200	3.469107013	NAN	NAN	NAN	NAN	0.080286169	0	5.998267867	14.90447555
SI023	08-07-15	75	97.23736924	2.73	60.49	29.576	0.929954679	NAN	0	12.91463337	14.8853941
SI027	08-11-12	110	NAN	NAN	NAN	NAN	0.816838528	0	0	6.433989316	16.70711203
SI030	09-02-11	75	138.6200669	2.0801	24.499	28.344	NAN	0.047468354	0	15.39422309	15.18361545
SI023	08-07-15	90	64.69818113	3.142	64.555	29.527	NAN	NAN	0	5.219855163	16.00160176
SI032	09-04-08	97	134.9669593	2.5751	25.653	28.81	0	0.034736842	0	0	15.40269618
SI033	09-05-01	120	NAN	3.3836	52.309	24.132	0	0.055434783	0	0	13.7472175
SI034	09-06-01	185	0	5.5198	43.259	0	2.859164478	0	1.938689522	589.935591	1.107480448
SI047	10-07-17	75	137.412008	2.548	47.065	26.684	0	0.477011494	0	13.77054519	13.26202758
SI022	08-06-11	75	138.6340457	1.825	30.141	19.7275	3.75492	NAN	0	62.44133562	13.87666091
SI033	09-05-01	200	NAN	5.1612	55.784	0	4.27226864	0.042391304	9.789948021	1089.090487	0
SI032	09-04-08	20	245.5342976	2.0053	22.114	21.441	1.834635152	0.193684211	0	33.84252659	13.28309532
SI035	09-07-01	120	9.717951304	3.7928	37.594	21.351	0	0	0	NAN	NAN
SI024	08-08-11	60	111.6831541	2.48	50.626	30.548	0.699964	0.0208	0	13.8438609	14.03809342
SI021	08-05-14	200	0	4.58	50.976	0	NAN	NAN	4.574949433	1177.018904	0
SI022	08-06-11	97	72.83648428	3.118	50.053	25.9685	0.2343	NAN	0	12.95950526	9.673283314
SI031	09-03-11	40	190.4671775	2.2066	29.394	28.168	0	0.146855662	NAN	1.512478988	15.69049746
SI023	08-07-15	110	43.9578336	3.142	61.681	24.369	0.07027459	NAN	0	6.532080434	18.2177265
SI022	08-06-11	90	75.11956317	2.931	38.6675	26.353	0.34599	NAN	0	11.94050409	13.82826855
SI023	08-07-15	85	73.14301879	2.924	59.739	28.284	0.29421488	NAN	0	5.593164848	15.60766103
SI034	09-06-01	40	184.483115	1.8865	27.589	16.979	2.235297207	0.361948956	0	52.73206215	15.82515886
SI034	09-06-01	135	11.15859933	4.3802	34.351	19.226	0	0.009280742	0	5.402271465	12.41534554
SI022	08-06-11	185	0	4.9005	87.918	0	7.60574	NAN	3.857579396	921.1946224	0.906389935
SI026	08-10-15	110	5.932761889	4.308	95.87	7.029	0.36883522	NAN	0	24.82655973	9.746785923
SI035	09-07-01	20	211.7008183	0.9141	12.812	4.062	5.552777084	0.260928962	0	NAN	NAN
SI024	08-08-11	10	226.5391531	1.171	47.798	11.358	1.564527	1.2083	0	21.79527834	10.86269784
SI031	09-03-11	90	141.8033949	2.5971	37.56	30.109	0.190836571	0.162251994	NAN	0	18.17031235
SI031	09-03-11	150	2.970428497	4.0018	71.601	8.769	0	0.93673764	NAN	58.50380769	7.583580193
SI034	09-06-01	200	0	5.8388	39.543	0	4.27226864	0	3.935840389	637.649355	1.840959203
SI027	08-11-12	97	NAN	NAN	NAN	NAN	5.238176162	0	0	9.233779719	16.01353404
SI031	09-03-11	165	2.888409507	4.7542	75.919	5.786	0	0.977589314	NAN	203.9081786	2.705364561
SI030	09-02-11	97	135.3390176	2.5883	28.668	29.18	NAN	0.065400844	0	40.2572951	16.92537093
SI025	08-09-10	40	127.5379272	1.065	17.467	9.38	NAN	NAN	0	20.11885792	15.99715734
SI035	09-07-01	185	0	4.7861	36.942	0	8.304400645	0	7.315716931	807.6323965	1.107218596
SI032	09-04-08	10	251.3606973	1.3123	15.189	15.569	0.344407427	0.127017544	0	18.12820843	12.59310881
SI038	09-10-01	90	12.85672746	3.1086	62.041	20.579	3.278743543	0.022167488	0	11.84304987	20.65316155
SI024	08-08-11	185	0	4.997	107.655	0	5.76093	0.3785	6.008878861	591.4331227	0.416518119
SI030	09-02-11	90	108.8189137	2.3826	27.018	27.34	NAN	0.151898734	0	8.028671989	12.66761009
SI026	08-10-15	135	2.766372704	4.193	96.02	0.465	3.338091075	NAN	0	722.432523	0
SI028	08-12-10	90	49.78216967	NAN	NAN	NAN	NAN	0.06518283	0	0	19.89340212
SI035	09-07-01	75	106.3170072	2.1439	37.462	28.036	0.71362126	0.24795082	0	36.02035498	16.62715461
SI035	09-07-01	90	64.01800466	2.8479	46.489	28.004	0	0.048497268	0	15.84180728	18.91893597
SI021	08-05-14	75	128.8154134	2.707	60.32	28.063	NAN	NAN	0	36.30100135	14.47650969
SI038	09-10-01	40	110.568113	2.2715	44.564	24.374	2.754339995	0.151888342	0	39.54328569	15.2619583
SI034	09-06-01	60	147.8455724	1.8876	32.216	17.791	1.364828519	0.232791957	0	30.96779294	15.87165155
SI028	08-12-10	165	8.985260101	NAN	NAN	NAN	NAN	0.069952305	0	0	18.2743821
SI024	08-08-11	165	2.974857338	4.467	97.427	1.403	1.189735	0.2986	0	82.76999981	0.569767706
SI035	09-07-01	40	165.1099531	1.5664	27.266	13.06	5.057823747	0.571721311	0	54.000555	13.29306851
SI047	10-07-17	20	330.009222	0.55	13.249	0.568	0	0.277777778	0	16.19833825	9.504977206
SI022	08-06-11	200	0	5.0045	85.6145	0	7.86311	NAN	5.49817348	861.1634519	0.033950499
SI029	09-01-14	200	2.970291899	4.3989	32.25	14.611	NAN	0.303617021	0	31.88865642	0.138813176
SI024	08-08-11	110	32.69432527	3.489	70.629	28.922	1.2458	0.1424	0	4.279820762	17.63751134
SI026	08-10-15	165	24.23855688	3.826	85.27	19.544	0	NAN	0	0	16.31361082
SI031	09-03-11	110	55.02741776	3.1383	44.405	25.751	0.059260093	0.0536874	NAN	0	12.03707804
SI021	08-05-14	165	5.586784277	4.127	82.016	3.472	NAN	NAN	0	0	18.6105534
SI031	09-03-11	60	179.821646	2.178	35.299	30.357	0.122889802	0.084549442	NAN	3.00596046	18.02688402
SI035	09-07-01	60	125.5267272	2.2253	39.628	24.438	0.767335014	0.256147541	0	42.68791494	16.75053697
