date	depth	abundance	group
08-05-14	150	0.232635427	SHAN715
08-06-11	150	0.10384216	SHAN715
08-07-15	150	0.018302727	SHAN715
08-10-15	150	0.031668954	SHAN715
08-11-12	150	0.084817642	SHAN715
08-12-10	150	0.133333333	SHAN715
09-01-14	150	0.195646857	SHAN715
09-05-01	150	0.023590469	SHAN715
09-06-01	150	0.04976775	SHAN715
09-07-01	150	0.037760785	SHAN715
09-08-01	150	0.028544244	SHAN715
09-10-01	150	0.120906801	SHAN715
10-06-01	150	0.035075412	SHAN715
08-05-14	165	0.073810642	SHAN715
08-06-11	165	0.051334702	SHAN715
08-08-11	165	0.013709899	SHAN715
08-10-15	165	0.020225174	SHAN715
08-11-12	165	0.107633714	SHAN715
08-12-10	165	0.253824518	SHAN715
09-01-14	165	0.558560677	SHAN715
09-05-01	165	0.056651874	SHAN715
09-06-01	165	0.061814248	SHAN715
09-07-01	165	0.045248869	SHAN715
09-10-01	165	0.063011972	SHAN715
10-06-01	165	0.07775186	SHAN715
10-07-17	165	0.025630073	SHAN715
08-06-11	185	0.100755668	SHAN715
08-07-15	185	0.070921986	SHAN715
08-08-11	185	0.062617408	SHAN715
08-10-15	185	0.10569965	SHAN715
08-12-10	185	0.184794087	SHAN715
09-05-01	185	0.052301255	SHAN715
09-06-01	185	0.044444444	SHAN715
09-07-01	185	0.020958502	SHAN715
09-08-01	185	0.038748426	SHAN715
09-10-01	185	0.162260189	SHAN715
10-06-01	185	0.066081374	SHAN715
08-05-14	200	0.154627789	SHAN715
08-06-11	200	0.11578804	SHAN715
08-07-15	200	0.091586274	SHAN715
08-08-11	200	0.046303442	SHAN715
08-11-12	200	0.09118541	SHAN715
08-12-10	200	0.179896559	SHAN715
09-05-01	200	0.059119125	SHAN715
09-06-01	200	0.028350698	SHAN715
09-07-01	200	0.02310892	SHAN715
09-08-01	200	0.043122035	SHAN715
09-10-01	200	0.191979522	SHAN715
10-06-01	200	0.080359253	SHAN715
10-07-17	200	0.054674686	SHAN715
09-05-01	90	0.010580331	SHAN715
09-08-01	165	0.010493179	SHAN715
09-01-14	97	0.010319385	SHAN715
09-08-01	135	0.010305029	SHAN715
